Comments,Comment_ID,Reply_Count,Like_Count,Date,VidId,user_ID
great stuff! I am in the process of hopefully moving into the Data Science world for my career and your videos are huge helps in my research to learn and understand in order to make the correct decisions for myself and career. Keep them coming.,UgzDlgpZRfQD_62Gyxl4AaABAg,1,2,2022-01-12T19:56:33Z,rEWPqw6rMGI,user_905
Man your voice is so so good...I mean full of confidence and energetic...I really love your voice and your valuable tips too 💯🤩,Ugzjc6aR67wZfhbMpeF4AaABAg,1,1,2022-01-12T11:39:25Z,rEWPqw6rMGI,user_3222
"Thank you so much.
I have a quick question.
I am mid-career and switching to data science.
After completing your suggested course work on this video, how necessary do you believe an MS degree would be?
Thanks again. I look forward to hearing from you. Jackie",Ugxw3WszyqhqNejKjSx4AaABAg,2,1,2022-01-12T09:59:35Z,Ip50cXvpWY4,user_1984
"Awesome! I love its simplicity. Well done, Ken!",UgyQibkMBntvNJtao8B4AaABAg,1,1,2022-01-12T09:44:27Z,rEWPqw6rMGI,user_3258
I am just here for the Z shirt.,UgzpeMvfzIjHDxLqPmZ4AaABAg,1,1,2022-01-12T06:24:54Z,rEWPqw6rMGI,user_4068
Bayesian Learning will be very important. The BBN ability to operate probabilistically and work with incomplete evidence is quite powerful. It can also allow for interesting dataset quality/Imputation checks. I don't know why more people don't talk about this,Ugwrp6n6WT4cF1CTpkV4AaABAg,0,1,2022-01-12T04:32:38Z,15c7WD-lKUY,user_1271
Is there a way to make the links in the page open on a new tab instead of the same tab?,UgwR9N5n-s-K5O_0FCF4AaABAg,0,0,2022-01-12T04:32:31Z,1aXk2RViq3c,user_555
"Love the explanation of what DS is currently.  It feels to me like the most interesting work is where the limits of our understanding math and the limits of computing power meet, forcing innovations.

Great vid as always!",Ugx00I392FDWRUcCpGZ4AaABAg,1,3,2022-01-12T02:51:10Z,rEWPqw6rMGI,user_95
Just sent this to my brother and parents. Thanks ken :D,UgwCiPe38SbtCWq9p9x4AaABAg,1,1,2022-01-11T23:16:10Z,rEWPqw6rMGI,user_5274
Thank you 🙏🏽 so helpful!,UgzwCLrOaHnPZvYE2yN4AaABAg,1,1,2022-01-11T19:20:25Z,rEWPqw6rMGI,user_2701
6:32 or if it was smashed or not,UgyoWRw0BU8wWEy66Md4AaABAg,1,1,2022-01-11T19:03:28Z,rEWPqw6rMGI,user_11
Another great example outside of data science is medical laboratory science. Over the years it has become more and more automated with more machines doing lab tests.. but all that has created is the ability to do more volume. We need people to interpret the results and make sure they are okay. Machines break down all the time and the job is VERY much in demand.,UgwuiKphBwJO6-1W5A94AaABAg,1,1,2022-01-11T18:51:18Z,2qVWurPFwfc,user_1952
Really helpful even to data science aspirants. 😇🙏,Ugz7VKCwxtJagA-kdO54AaABAg,1,2,2022-01-11T17:35:23Z,rEWPqw6rMGI,user_1355
People need it.  If they say they don't they are hiring the skills under multiple / different job titles.,UgyY6oREqdX_Ya2D8z14AaABAg,0,1,2022-01-11T16:48:33Z,2qVWurPFwfc,user_3668
great video I will kindly request to make a video of deep learning,UgzUJ30OluHNsg6-A8x4AaABAg,1,1,2022-01-11T16:13:20Z,rEWPqw6rMGI,user_1553
"Great episode once again. My learnings is to create a journal to write down what you’re learning, how you did it and what next. And I’ll take it a step further and share it with the world. Thank you for sharing this conversation",UgysGKyJe1F9PBT2Qe54AaABAg,1,1,2022-01-11T11:44:41Z,hO_YKK_0Qck,user_3130
"Great vidéo man!
Clear and i think it's a good definition :)",UgxcNY5Or-jDKTS2Rj94AaABAg,1,1,2022-01-11T11:24:41Z,rEWPqw6rMGI,user_4238
i want to know what are the tools they use means  did they work in jupyter notebooks or google collab in which software do they do the whole process pls reply,Ugx3MQfLgOfYu3XM_p94AaABAg,2,1,2022-01-11T10:51:40Z,rEWPqw6rMGI,user_5124
"Hi Ken, in 4:15  of your video,  you mentioned Geography. I have basic to intermediate experience in GIS (spatial) data and geostatistics and working on improving my data wrangling, programming and ML skills in order to land a role as a geospatial data analyst/scientist. 
Thanks for this short and insightful video, I was watching your content since 2020 when started my journey in learning data analytics.",UgwtKWFbIeLYnSOqUVB4AaABAg,1,2,2022-01-11T07:01:15Z,rEWPqw6rMGI,user_3062
"Very Well Explained, thanks Ken",Ugw3fhdbPwTAHR7GA054AaABAg,1,1,2022-01-11T06:17:27Z,rEWPqw6rMGI,user_4571
Hi Ken! Great video. Can you also explain the role and responsibilites of a full stack data scientist too in one of your videos please ?,Ugxv74pLphH_LZbgf6R4AaABAg,1,1,2022-01-11T03:43:12Z,rEWPqw6rMGI,user_281
"2:56 theres a typo and my dyslexic brain told me to read it as 'orgasming' data dont ask how, great video btw",Ugx1gbnwP5gesjHwypJ4AaABAg,1,1,2022-01-11T01:59:37Z,rEWPqw6rMGI,user_1824
Great video Ken. You got any tips on how to get on the path of learning data science?,UgzGZEiYAgCfBr2DZRB4AaABAg,1,1,2022-01-11T01:29:32Z,rEWPqw6rMGI,user_685
"Allow me to comment on how much I admire your relationship with your parents ❤🌻 ! I hope to see them reacting to one of your videos sometime Haha.
Awesome video Ken ! When my family asks what I do I'll just send them this lol .. They probably won't ask tho :3",UgxqbEH7C9JKCP2DZbd4AaABAg,1,1,2022-01-10T23:13:23Z,rEWPqw6rMGI,user_1889
What about PySpark? Does it also make sense to pay attention to it? And what could be a possible private project example?,UgxuTyI2uJbhnk-CAaZ4AaABAg,0,0,2022-01-10T21:08:27Z,xpIFS6jZbe8,user_4618
"THE EXPLANATION WE HAVE BEEN WAITING FOR!! 🙌🏼
...also... I hope it's okay... but now I'm going to drop a video next week titled: ""The Only DATA ANALYTICS Explanation You Need"" 🤣jk",UgyECs12MrfkukNvxw54AaABAg,6,10,2022-01-10T21:02:24Z,rEWPqw6rMGI,user_2661
overfitting underfitting and bias invariance tradeoff please,Ugx-1uko9jgSeNMNAIl4AaABAg,1,2,2022-01-10T19:59:39Z,rEWPqw6rMGI,user_1923
