Video,Video title,Video pub­lish time,Com­ments ad­ded,Shares,Dis­likes,Likes,Sub­scribers lost,Sub­scribers gained,RPM (USD),CPM (USD),Av­er­age per­cent­age viewed (%),Av­er­age view dur­a­tion,Views,Watch time (hours),Sub­scribers,Your es­tim­ated rev­en­ue (USD),Im­pres­sions,Im­pres­sions click-through rate (%)
pWVQ0vN5uig,How To Get Data Science Experience (Without a Job),"Aug 8, 2019",35,135,17,1272,9,603,4.797,11.459,40.33,0:03:19,26360,1461.8508,594,126.423,369626,4.5
2OnXytYziF0,What is Sports Analytics Really?,"Jan 20, 2020",34,168,2,423,1,227,4.831,9.377,44.13,0:03:03,13322,679.4159,226,64.297,173898,5.21
Z_KFh-HqaBA,I Wish I Had Known THIS Before Starting in Data Science,"May 14, 2019",34,86,14,999,6,274,5.077,11.998,44.42,0:03:58,23397,1553.1482,268,118.739,407598,4
DM1eE_Coh6g,Avoid These Data Science Resume Mistakes!,"Feb 10, 2020",33,79,6,1038,3,358,4.538,11.941,42.16,0:03:22,22787,1281.0656,355,103.269,391392,3.53
GO420aMtHfk,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),"Jan 16, 2021",33,36,1,239,10,44,4,8.997,8.43,0:05:08,6827,584.6419,34,27.292,178253,2.1
hpMc6TgT34I,The 5 Stages of Learning Data Science,"Mar 13, 2020",33,91,3,1197,4,277,4.608,12.416,50.44,0:03:33,15398,912.5822,273,70.941,228644,3.65
jam0xApfC-U,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),"May 11, 2020",32,23,13,149,4,67,2.979,7.014,24.55,0:03:17,4028,220.7436,63,11.996,302651,0.96
tJI-1mHeXoA,How to Build a Website  - Building my ULTIMATE Portfolio Website,"Feb 19, 2021",32,28,13,157,13,21,8.647,19.322,11.83,0:03:00,5483,274.8013,8,47.386,105754,2.95
txR8_jGi0Ls,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),"Jun 8, 2020",32,52,8,309,53,81,3.204,7.9,26.19,0:03:56,8778,577.311,28,28.109,202969,2.99
8Vxjp2KVHqs,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),"Sep 21, 2020",31,66,1,371,2,74,3.981,10.698,26.51,0:04:07,8700,598.3585,72,34.626,164410,2.9
Ft4GVkQQtgk,Data Science Resume Round-Up With @Tina Huang  - Episode 1,"Sep 28, 2020",31,53,2,258,6,50,5.991,13.499,18.64,0:04:34,9054,689.6168,44,54.173,170650,2.66
4yI3vVe0Jos,Data Science Fundamentals: Data Cleaning in Python,"Aug 11, 2019",30,115,4,297,3,132,5.718,15.198,14.56,0:05:03,10430,878.9639,129,59.526,126771,4.68
N97MhZEp2UQ,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,"Oct 14, 2020",30,70,7,319,6,65,6.853,12.349,16.98,0:08:36,9457,1357.0912,59,64.756,221853,2.4
 -zbLpoJVBMI,What the Heck is WSL 2? (My New Favorite Tool),"Dec 17, 2021",29,39,6,237,20,27,3.611,9.113,39.53,0:02:25,5004,202.1937,7,18.005,132645,1.81
TjGFBQC27ng,Business Skills for Data Science: What are they REALLY?,"Oct 18, 2021",29,34,4,228,10,31,6.367,13.744,35.84,0:03:52,4413,285.1689,21,28.034,114051,2.01
UKuK2fXu_dU,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,"Sep 30, 2020",29,36,5,281,7,29,4.47,11.487,15.53,0:06:05,6692,678.5389,22,29.907,150870,2.13
vy-R4oUZaC8,Data Science Project Example Start to Finish (Deep Learning Image Classifier),"Mar 20, 2020",29,108,2,384,3,174,3.336,10.289,15.99,0:03:52,9757,628.8956,171,32.538,194945,2.9
Z9dGmL2G-4k,Data Science Fundamentals: Data Exploration in Python (Pandas),"Jul 5, 2019",28,78,3,420,4,172,3.47,12.484,23.87,0:04:33,13658,1036.1894,168,47.361,115289,5.66
q6Lf2yhvluw,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),"Aug 24, 2020",28,50,0,378,4,99,4.646,11.355,21.91,0:04:02,9384,632.9141,95,43.551,169277,2.93
